,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
0,6407c4bd4d7c3f56aba506b9,135000,Piso,"Piso en Calle Antonio Floriano Cumbreño, 7, Centro",930 441 735,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176887179/d?from=list,4,2,113,Yes,5,No,Yes,No,No,No,No,0,13500.0,232.5,169.5,73.4,235.0,59.199999999999996,35000,53570.22228626518,148.8061730174033,719.8,6.14152592379116,2/3,55.294117647058826
1,6407c4bd4d7c3f56aba506ba,82000,Piso,Piso con ascensor en Nuevo Cáceres,927 135 081,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-ascensor/160035329/d?from=list,3,1,80,Yes,3,No,No,No,Yes,No,No,1,8200.0,150.0,120.0,44.25,182.0,41.354166666666664,0,0.0,0.0,615.8333333333334,7.642738359201775,3/3,42.3728813559322
2,6407c4bd4d7c3f56aba506bb,99000,Piso,Piso con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza/176991939/d?from=list,2,1,107,No,1,No,Yes,Yes,No,No,No,2,9900.0,217.5,160.5,43.6,199.0,51.71666666666667,0,0.0,0.0,668.1666666666666,7.3974,3/3,73.55371900826447
3,6407c4bd4d7c3f56aba506bc,117260,Piso,Piso con calefacción en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/176998458/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,3,11726.0,225.0,165.0,53.64300000000001,217.26,55.075250000000004,17260,26417.77247602677,73.38270132229658,659.3333333333334,6.3705045841324415,1/3,80.59701492537314
4,6407c4bd4d7c3f56aba506bd,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,4,12450.0,302.5,211.5,57.62500000000001,224.5,66.34375,24500,37499.155600385624,104.1643211121823,758.3333333333334,7.053903146653813,2/3,31.818181818181817
6,6407c4bd4d7c3f56aba506bf,150000,Ático,"Ático en Calle Fuente Nueva, ., Ciudad Monumental",930 441 735,Ciudad Monumental,Cáceres Capital,13,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/176887314/d?from=list,5,2,136,No,2,No,Yes,Yes,No,No,No,6,15000.0,290.0,204.0,71.65,250.0,67.97083333333333,50000,76528.88898037882,212.58024716771897,755.6666666666666,5.7013870339873725,2/3,94.73684210526315
9,6407c4bd4d7c3f56aba506c2,129000,Piso,"Piso en C. Tenerías, 35, 35, Ciudad Monumental",927 135 106,Ciudad Monumental,Cáceres Capital,20,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176811627/d?from=list,4,2,83,No,0,Yes,No,No,No,No,No,9,12900.0,157.5,124.5,60.1,229.0,47.59166666666667,29000,44386.75560861973,123.29654335727702,604.6666666666666,5.205341479712676,2/3,44.29824561403508
15,6407c4bd4d7c3f56aba506c8,89200,Piso,Piso con 1 baño en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/parking-amueblado/176652677/d?from=list,3,1,90,No,0,No,No,No,No,No,No,15,8920.0,175.0,135.0,38.21,189.2,44.784166666666664,0,0.0,0.0,590.6666666666666,6.676100693028944,1/3,5.223880597014926
16,6407c4bd4d7c3f56aba506c9,59260,Piso,Piso con 1 baño en Nuevo Cáceres,924 150 618,Nuevo Cáceres,Cáceres Capital,11,/es/comprar/vivienda/caceres-capital/nuevo-caceres/176925780/d?from=list,3,1,66,No,0,No,No,No,No,No,No,16,5926.0,115.0,99.0,21.743000000000002,159.26,32.916916666666665,0,0.0,0.0,542.6666666666666,9.38391218973399,1/3,50.0
17,6407c4bd4d7c3f56aba506ca,125000,Piso,Piso con terraza en Centro,924 150 618,Centro,Cáceres Capital,4,/es/comprar/vivienda/caceres-capital/terraza-ascensor/176999666/d?from=list,3,1,89,Yes,3,No,Yes,No,No,No,No,17,12500.0,172.5,133.5,67.9,225.0,49.90833333333333,25000,38264.44449018941,106.29012358385948,693.1,6.442818516993685,2/3,13.823529411764707
